feature,importance
weather_hot_33,0.0006343461063806899
month_33,0.00034396786213619635
time_34,0.0007955422479426488
value_34,0.00029404334782157093
is_weekday_34,0.00036344440741231665
weather_cold_34,0.0007991501915967092
weather_warm_34,0.0003959830428357236
weather_hot_34,0.0010087527625728399
month_34,0.00048505697486689314
time_35,0.0011628051579464227
value_35,0.0002928571557276882
is_weekday_35,0.00031769030465511605
weather_cold_35,0.0013928205808042549
weather_warm_35,0.0004122298487345688
weather_hot_35,0.001054848573403433
month_35,0.0003102320151811
time_36,0.0008667786314617842
value_36,0.0002964113373309374
is_weekday_36,0.0004130144734517671
weather_cold_36,0.0002768641061265953
weather_warm_36,0.00025906159498845227
weather_hot_36,0.000562070359592326
month_36,0.0002499524380255025
time_37,0.0005839218356413767
value_37,0.00029853842715965584
is_weekday_37,0.0003704823466250673
weather_cold_37,0.0008373838645638898
weather_warm_37,0.0003141466913803015
weather_hot_37,0.00038580004911636934
month_37,0.00031753554139868356
time_38,0.0005281601115711965
value_38,0.00028620178636629134
is_weekday_38,0.00029125432047294453
weather_cold_38,0.00046426011249423027
weather_warm_38,0.0003113916827715002
weather_hot_38,0.0005244305793894455
month_38,0.00039951644430402666
time_39,0.0004611547410604544
value_39,0.000305166126054246
is_weekday_39,0.00024813607524265535
weather_cold_39,0.0004769522856804542
weather_warm_39,0.0003139063228445593
weather_hot_39,0.0005506683519342914
month_39,0.00027919182321056724
time_40,0.0005073204447398894
value_40,0.00028354614187264815
is_weekday_40,0.00029405526584014297
weather_cold_40,0.0005033786510466598
weather_warm_40,0.00039847440348239616
weather_hot_40,0.0005191430682316422
month_40,0.0002904070388467517
time_41,0.00042272164864698425
value_41,0.00028719315014313906
is_weekday_41,0.0003144874353893101
weather_cold_41,0.0007406313670799136
weather_warm_41,0.0004379100791993551
weather_hot_41,0.0006362856875057332
month_41,0.000518838845891878
time_42,0.00048066321323858574
value_42,0.0003010342479683459
is_weekday_42,0.0003287126019131392
weather_cold_42,0.0009363927674712613
weather_warm_42,0.00046240718802437186
weather_hot_42,0.0005031301916460507
month_42,0.0003209787973901257
time_43,0.0004564680129988119
value_43,0.00027664699882734567
is_weekday_43,0.0002357688790652901
weather_cold_43,0.0007803439511917531
weather_warm_43,0.0003365920711075887
weather_hot_43,0.0005221237006480806
month_43,0.0003678596985992044
time_44,0.0004164415586274117
value_44,0.00027286276599625126
is_weekday_44,0.00029973031632835045
weather_cold_44,0.0013923881779192016
weather_warm_44,0.0004544253315543756
weather_hot_44,0.0005453060293802992
month_44,0.0003565573897503782
time_45,0.0004020424312329851
value_45,0.00029595429805340245
is_weekday_45,0.00026192218138021417
weather_cold_45,0.0022378050853149034
weather_warm_45,0.0002977690637635533
weather_hot_45,0.0005995275569148362
month_45,0.00040167607221519575
time_46,0.0004508018391788937
value_46,0.0002791365113807842
is_weekday_46,0.0003051937383133918
weather_cold_46,0.0006629797571804374
weather_warm_46,0.0002484327669662889
weather_hot_46,0.000620427425019443
month_46,0.00043615249160211533
time_47,0.00047094190813368186
value_47,0.00030244870868045837
is_weekday_47,0.0004166330909356475
weather_cold_47,0.001576262409798801
weather_warm_47,0.00028978122281841934
weather_hot_47,0.0007751735247438774
month_47,0.0005159258871572092
time_48,0.00041550100286258385
value_48,0.0002720007469179109
is_weekday_48,0.0002848543517757207
weather_cold_48,0.0011860492086270824
weather_warm_48,0.0003129418328171596
weather_hot_48,0.0007024723963695578
month_48,0.00034987603430636227
time_49,0.0005170652948436327
value_49,0.00026969423197442666
is_weekday_49,0.00032355952134821564
weather_cold_49,0.0017483477058704011
weather_warm_49,0.00035301902244100347
weather_hot_49,0.0008423640392720699
month_49,0.0003469303592282813
time_50,0.0006349266332108527
value_50,0.0002667423977982253
is_weekday_50,0.0002931288108811714
weather_cold_50,0.0014364252565428615
weather_warm_50,0.00045495862286770716
weather_hot_50,0.0005817181154270656
month_50,0.00034660813253140077
time_51,0.0005984136805636808
value_51,0.00026923135010292754
is_weekday_51,0.00033658563916105777
weather_cold_51,0.001846888946602121
weather_warm_51,0.0003395115854800679
weather_hot_51,0.0004886455280939117
month_51,0.00047676880785729736
time_52,0.0004975075207767077
value_52,0.0002772202715277672
is_weekday_52,0.0005120448404341005
weather_cold_52,0.0013830189272994176
weather_warm_52,0.00035559102980187163
